Speech,Key-words
inaugAbrahamLincoln-1,case,minority,fugitive,secede,clause,slave,surrendered,lawfully,expressly,union
inaugAbrahamLincoln-2,offense,woe,insurgent,answered,address,slave,cease,pray,appearing,absorbs
inaugAndrewJackson-1,diffidence,generally,defending,worth,accountability,militia,teach,fellowcitizensabout,customary,convinces
inaugAndrewJackson-2,constitutionally,proportion,preservation,union,observation,exercise,necessarily,impressed,importance,connected
inaugBarackObama-1,job,muslim,icy,america,storm,woman,generation,winter,you,journey
inaugBarackObama-2,journey,she,creed,requires,selfevident,train,complete,founding,thrives,thats
inaugBenjaminHarrison-1,ballot,method,european,elector,friendly,suggestion,officer,covenant,list,commercial
inaugCalvinCoolidge-1,represents,tax,array,property,unless,ought,save,method,result,definite
inaugDonaldJTrump-1,america,obama,job,dream,everyone,weve,back,your,protected,transferring
inaugDwightDEisenhower-1,productivity,korea,thatin,stamen,spiritual,strive,everywhere,defines,prisoner,faith
inaugDwightDEisenhower-2,strives,divided,help,mr,honorably,want,fate,freedom,seek,communism
inaugFranklinDRoosevelt-1,helped,leadership,stricken,recovery,discipline,emergency,critical,languishes,changer,lie
inaugFranklinDRoosevelt-2,democracy,paint,million,despair,disaster,ruthless,epidemic,selfinterest,opportunism,timidity
inaugFranklinDRoosevelt-3,speaks,democracy,democracyfor,disruption,stock,something,measured,know,later,america
inaugFranklinDRoosevelt-4,learned,upward,wellbeing,test,gain,friendsyou,briefwe,—of,resolve—of,wisdom—of
inaugFranklinPierce-1,hardly,your,apparent,regarded,position,preferment,consult,realized,entirely,tone
inaugGeorgeBush-1,breeze,dont,blowing,mr,door,crucial,friend,page,loyal,watching
inaugGeorgeWashington-1,immutable,providential,your,impression,peculiarly,retreat,rendered,qualification,supplication,pecuniary
inaugGeorgeWashington-2,arrive,americaprevious,upbraiding,citizensi,violated,willingly,incurring,knowingly,besides,injunction
inaugGeorgeWBush-1,story,civility,commitment,affirm,america,ideal,compassion,whirlwind,directs,everyone
inaugGeorgeWBush-2,america,freedom,tyranny,ideal,your,excuse,defended,seen,choice,fire
inaugGroverCleveland-I-1,yours,partisan,extravagance,governmentbut,strife,commended,application,appreciation,relieve,amity
inaugGroverCleveland-II-2,frugality,activity,governmental,related,aggregation,kindred,paternalism,taxing,dependence,justification
inaugHerbertHoover-1,enforcement,18th,criminal,ideal,federal,rightly,domination,liquor,settlement,amendment
inaugJamesBuchanan-1,territory,whilst,agitation,invasion,slavery,speedily,convinced,grant,squandering,warmaking
